,Date,Ticker,RSI_14,Volume_ratio,Price_vs_MA50_pct,Price_vs_MA200_pct,MA_cross,RSI_x_Volume,MA_spread,Log_Volume,Return_accel,RSI_zone,Ticker_encoded,Market_regime,PC1,PC2,Target
0,2025-01-09,RELIANCE,50.81172734478004,0.9595857169752736,-1.273475314821118,-11.362574011328698,0,48.75820781489287,-10.219238171990657,16.36454197142903,-0.010580371563828206,2.0,0.00011712281414025485,0.0,0.2937620891447478,-0.873181922053528,-0.01024104070102605
1,2025-01-10,RELIANCE,47.6135184033198,0.6396860108275901,-2.1334567130490005,-12.214958182154522,0,30.457701648885692,-10.301274705847034,15.909881721149196,-0.008762392546897124,1.0,0.00011712281414025485,0.0,-0.05029035952978507,-0.9917800526943215,-0.0016507167448225335
2,2025-01-13,RELIANCE,47.104135341048135,1.1517768929818015,-2.134516153966571,-12.298178278843503,0,54.25345464970669,-10.38533886049844,16.437629671081783,-0.005238562548131887,1.0,0.00011712281414025485,0.0,0.15487336914447272,-0.8310599037570925,-0.0008871691810375948
3,2025-01-14,RELIANCE,46.81473576852957,1.0794519118619492,-2.0771092018409485,-12.311688308443419,0,50.53425602865123,-10.45167174210392,16.387761425177715,-0.0005487066275318142,1.0,0.00011712281414025485,0.0,-0.014447786185827843,-0.955591673511083,0.010857611082177643
4,2025-01-15,RELIANCE,50.79553620971076,0.8161104029688974,-0.878423950705475,-11.297470419872049,0,41.454765525128266,-10.511380957043134,16.075068831764195,0.012959562943042569,2.0,0.00011712281414025485,0.0,0.5563422707238941,-0.6432504286480414,0.01138000913164694
5,2025-01-16,RELIANCE,54.667011024146206,1.1954367748623822,0.3062725594754772,-10.233905947292671,0,65.35095535007163,-10.507995400306065,16.4629330872454,0.009515098116609088,2.0,0.00011712281414025485,0.0,0.9920512215713301,-0.5198457844839575,0.028346965549963965
6,2025-01-17,RELIANCE,62.64182560059086,2.3370265076040386,3.1544715265318892,-7.628599668886865,0,146.39560691329012,-10.453324064236313,17.19535756719044,0.01861189142610109,2.0,0.00011712281414025485,0.0,2.3076095975241158,-0.041426629343661675,0.002380295885440198
7,2025-01-20,RELIANCE,63.24312878011418,1.1459528501323197,3.4326160875094316,-7.3511067589894274,0,72.47364367685718,-10.425843659774845,16.457438406552136,-0.008201620868534798,2.0,0.00011712281414025485,0.0,2.4314856730734933,0.004837494528002276,-0.02432108515219722
8,2025-01-21,RELIANCE,53.70819616204627,1.167135796509783,0.9681417966365801,-9.538283966034438,0,62.684758306693546,-10.405683986769185,16.493993044118554,-0.029963861110418998,2.0,0.00011712281414025485,0.0,0.9428227518845357,-0.8488879814718818,0.0026693883355755066
9,2025-01-22,RELIANCE,54.499316616918776,0.8118548081259984,1.2483396857420594,-9.230785957390916,0,44.24553223502663,-10.349923441370429,16.145087179989766,-0.0013076249699094152,2.0,0.00011712281414025485,0.0,1.3739508356527235,-0.37830205772258013,-0.010531664616998282
10,2025-01-23,RELIANCE,50.80072706143672,0.6926842815186028,0.19640383936524583,-10.12190711956222,0,35.18886512517393,-10.298085124362117,15.98120811850594,-0.010089490547393321,2.0,0.00011712281414025485,0.0,0.7070052139086418,-0.7949970218295048,-0.013729990211083898
11,2025-01-24,RELIANCE,46.424018724972804,1.0991778462847965,-1.135471381800879,-11.2891524447429,0,51.028252918000675,-10.27029735017916,16.471282488521076,-0.005122492476665585,1.0,0.00011712281414025485,0.0,-0.25143061350597856,-1.4017991900811757,-0.013600350710330056
12,2025-01-27,RELIANCE,42.56570205075457,0.7342553334648486,-2.444929903826717,-12.425271249457309,0,31.254093753442184,-10.230469145059926,16.070586765600506,-0.0019415400636954901,1.0,0.00011712281414025485,0.0,-0.6456616785557119,-1.4858240577751545,0.004107958579064652
13,2025-01-28,RELIANCE,44.057501815716584,0.800883340102138,-1.9925359881978606,-11.98822911414401,0,35.28491921072711,-10.198910079687868,16.17334358543865,0.010278939339204296,1.0,0.00011712281414025485,0.0,-0.023169269358315602,-0.9873720114232778,0.0008910860517084007
14,2025-01-29,RELIANCE,44.39626938703862,0.4491966689291222,-1.8658556527780659,-11.83965418284106,0,19.94265632153771,-10.163433529081708,15.595223930087784,0.007405835746657296,1.0,0.00011712281414025485,0.0,-0.015122393885470526,-0.955278242496824,0.014204806410186954
15,2025-01-30,RELIANCE,49.63663832292391,0.7193061832699971,-0.48990028673685576,-10.516631252965498,0,35.703940862415664,-10.076093778541592,16.042214106955445,0.015882471261479902,1.0,0.00011712281414025485,0.0,0.687702396893286,-0.5676508405586588,0.00961644545190632
16,2025-01-31,RELIANCE,52.917635092455086,0.529328194064292,0.3998989643094651,-9.592497303736163,0,28.010796217642454,-9.952595939959823,15.700246121500836,0.006599534180911792,2.0,0.00011712281414025485,0.0,1.1344936374256898,-0.3449627657096033,-0.0003952541600500403
17,2025-02-01,RELIANCE,52.76402068485145,0.5905151883545804,0.3614899483197805,-9.56513238696247,0,31.157955613060032,-9.89086784223099,15.778201124979518,-0.006129986667704257,2.0,0.00011712281414025485,0.0,1.2905247637950525,-0.34514678594746756,-0.014787187771117871
18,2025-02-03,RELIANCE,47.241044786764704,0.7701469029156528,-1.0580288574043335,-10.833896800843311,0,36.38254433302648,-9.880405484695617,16.040387698953705,-0.016650436294570924,1.0,0.00011712281414025485,0.0,0.29274345032230464,-0.9389001359325522,0.031543373023227295
19,2025-02-04,RELIANCE,57.34596080171531,1.4048580288085102,2.0799585048131752,-7.963935325949157,0,80.56293345202786,-9.839241686494956,16.6303844038287,0.023498063025780613,2.0,0.00011712281414025485,0.0,1.900357564326763,0.013490072718367014,-0.0054466343126137184
20,2025-02-05,RELIANCE,55.31378100146529,0.8608302844295161,1.5481633528399814,-8.403907297525464,0,47.61577783236333,-9.800345296040373,16.12923626324441,-0.009460815635426622,2.0,0.00011712281414025485,0.0,1.1762852530616223,-0.5882655496549646,0.002620966195432839
21,2025-02-06,RELIANCE,56.11530831237281,0.8409768656545337,1.7969297212788722,-8.100189459178091,0,47.191676099777084,-9.722414229540504,16.11368614335349,2.036819913890913e-05,2.0,0.00011712281414025485,0.0,1.3599022412497859,-0.4730629716429378,-0.011587600097353934
22,2025-02-07,RELIANCE,51.68942498729412,0.7562858166549177,0.6581248742336671,-9.10391851636236,0,39.09197898893884,-9.69821701208235,15.986195384466841,-0.011919725490535372,2.0,0.00011712281414025485,0.0,0.7199011081418206,-0.8479899658739446,-0.010302329044276082
23,2025-02-10,RELIANCE,48.09920321720821,0.6178640996648666,-0.29093876697683846,-9.978468755424693,0,29.718770890397806,-9.715797008466257,15.75726537127211,-0.011546400841000226,1.0,0.00011712281414025485,0.0,0.523205520641586,-0.8237579556819697,-0.014996216167547205
24,2025-02-11,RELIANCE,43.420282105132884,0.7877812499858288,-1.6478184145594907,-11.258296087415344,0,34.2056841115189,-9.77149415288469,15.997025155021005,-0.007160867095084723,1.0,0.00011712281414025485,0.0,-0.5237886485780686,-1.4442806525438137,-0.014819589803139244
25,2025-02-12,RELIANCE,39.40231268748801,1.8221472631673024,-2.962530231250966,-12.500757174498439,0,71.79681622596856,-9.829426680207263,16.86628271118191,-0.005173226076122427,1.0,0.00011712281414025485,2.0,-1.2617261278911664,-1.9362741966328496,-0.0003699251274362769
26,2025-02-13,RELIANCE,39.3059850805615,0.8064168038784792,-2.83419624437138,-12.456317646468747,0,31.697006861961594,-9.902785784901178,15.956895498550473,0.009844277352410358,1.0,0.00011712281414025485,0.0,-1.0554985976744138,-1.505652410803533,0.0009456132785348181
27,2025-02-14,RELIANCE,39.711574602112435,0.9933334882762569,-2.595535620118377,-12.296261119195568,0,39.446836924459156,-9.959220617695657,16.14747443699792,0.008753304168413977,1.0,0.00011712281414025485,0.0,-0.9176730647336814,-1.4400226816129853,0.006284708364159508
28,2025-02-17,RELIANCE,42.46600693305428,0.8128120109514819,-1.8730545105672676,-11.669751088112042,0,34.516880492335424,-9.983696658121065,15.915573509293573,0.010871313548396122,1.0,0.00011712281414025485,0.0,-0.281600270607709,-1.065390028179061,0.0004082259939102162
29,2025-02-18,RELIANCE,42.65044446613542,0.6762908035963336,-1.7394025520161365,-11.568727119907358,0,28.844103361743525,-10.00332261677379,15.713617705444792,0.0019387674478114514,1.0,0.00011712281414025485,0.0,-0.17001515961117486,-0.9960000751530068,0.0016728435660231522
30,2025-02-19,RELIANCE,43.4507725867314,0.6381823370832779,-1.4948552843328866,-11.360899167616324,0,27.729515597474265,-10.015765076800355,15.642852559672233,-0.0001190971234540151,1.0,0.00011712281414025485,0.0,0.15759353129530176,-0.7909673809573547,0.004521595523635513
